word1,word2,similarity
a,al,0.6934809684753418
a,algo,0.06175455078482628
a,algunas,0.014485745690762997
a,algunos,0.07185273617506027
a,ante,0.16065308451652527
a,antes,0.1011069118976593
a,como,0.03026415780186653
a,con,0.18513162434101105
a,contra,0.11820857971906662
a,cual,0.04157663881778717
a,cuando,0.12185624241828918
a,de,0.420134961605072
a,del,0.08459916710853577
a,desde,0.17090648412704468
a,donde,0.056535083800554276
a,durante,0.008469097316265106
a,e,0.259370356798172
a,el,0.3377339243888855
a,ella,0.12867894768714905
a,ellas,-0.01265001855790615
a,ellos,0.04758530855178833
a,en,0.3918530344963074
a,entre,0.11078761518001556
a,era,0.06813427060842514
a,erais,0.09129293262958527
a,eran,0.024838626384735107
a,eras,0.03691605478525162
a,eres,0.04046226292848587
a,es,0.29695960879325867
a,esa,0.13706959784030914
a,esas,0.0076842233538627625
a,ese,0.08148912340402603
a,eso,0.06591154634952545
a,esos,0.07205301523208618
a,esta,0.09681462496519089
a,estaba,0.06015473231673241
a,estabais,0.11319754272699356
a,estaban,0.06320102512836456
a,estabas,0.027152903378009796
a,estad,-0.03146243095397949
a,estada,-0.00621197372674942
a,estadas,-0.09738355875015259
a,estado,-0.056101396679878235
a,estados,-0.014556821435689926
a,estamos,0.07230185717344284
a,estando,0.04083801433444023
a,estar,0.16693997383117676
a,estaremos,0.07697854936122894
a,estará,0.03927306830883026
a,estarán,0.05593542009592056
a,estarás,0.09005071222782135
a,estaré,0.10808277130126953
a,estaréis,0.08922268450260162
a,estaría,-0.023208096623420715
a,estaríais,0.09525442123413086
a,estaríamos,-0.002114969538524747
a,estarían,0.02161148190498352
a,estarías,0.021258916705846786
a,estas,0.033919498324394226
a,este,0.0517241433262825
a,estemos,0.05019158124923706
a,esto,0.041678622364997864
a,estos,0.04590687155723572
a,estoy,0.06624040007591248
a,estuve,0.07872027158737183
a,estuviera,-0.009365052916109562
a,estuvierais,0.019932575523853302
a,estuvieran,0.028250673785805702
a,estuvieras,0.05097760632634163
a,estuvieron,0.033779531717300415
a,estuviese,-0.011723041534423828
a,estuvieseis,0.05329905077815056
a,estuviesen,0.013936266303062439
a,estuvieses,0.006155369337648153
a,estuvimos,0.047122884541749954
a,estuviste,0.013876184821128845
a,estuvisteis,0.09596270322799683
a,estuviéramos,0.040876444429159164
a,estuviésemos,0.0549151785671711
a,estuvo,0.029364917427301407
a,está,0.05144697055220604
a,estábamos,0.09955886006355286
a,estáis,0.08265221118927002
a,están,0.0729210376739502
a,estás,0.03204568102955818
a,esté,0.03024664893746376
a,estéis,0.09991186857223511
a,estén,0.05310237035155296
a,estés,0.03850610554218292
a,fue,0.038081564009189606
a,fuera,0.0003158934414386749
a,fuerais,0.13761600852012634
a,fueran,0.030146747827529907
a,fueras,0.1363382339477539
a,fueron,0.041352927684783936
a,fuese,0.01703101396560669
a,fueseis,0.1596301645040512
a,fuesen,0.03018837422132492
a,fueses,0.0895860493183136
a,fui,0.17963460087776184
a,fuimos,0.15789368748664856
a,fuiste,0.09314052760601044
a,fuisteis,0.16463741660118103
a,fuéramos,0.11370638012886047
a,fuésemos,0.11284847557544708
a,ha,0.2760290801525116
a,habida,-0.03456490486860275
a,habidas,-0.021062497049570084
a,habido,-0.06038833409547806
a,habidos,-0.06899844110012054
a,habiendo,-0.03899822384119034
a,habremos,0.06458589434623718
a,habrá,0.014307811856269836
a,habrán,0.007169537246227264
a,habrás,0.021034695208072662
a,habré,0.043977752327919006
a,habréis,0.04372977092862129
a,habría,0.015097927302122116
a,habríais,0.1181146502494812
a,habríamos,0.06439585238695145
a,habrían,0.02174890786409378
a,habrías,0.05516762286424637
a,habéis,0.0784783586859703
a,había,0.03182441368699074
a,habíais,0.05866064876317978
a,habíamos,0.03707506135106087
a,habían,0.03850649297237396
a,habías,0.017833221703767776
a,han,0.0686100423336029
a,has,0.0667770653963089
a,hasta,0.19282929599285126
a,hay,0.03341187164187431
a,haya,0.008595979772508144
a,hayamos,-0.003581481985747814
a,hayan,0.015558011829853058
a,hayas,-0.017896492034196854
a,hayáis,0.05079866945743561
a,he,0.3126850724220276
a,hemos,0.05210787430405617
a,hube,0.06977343559265137
a,hubiera,0.0006058420985937119
a,hubierais,0.0769563540816307
a,hubieran,0.012560389935970306
a,hubieras,0.01766553707420826
a,hubieron,0.03205239027738571
a,hubiese,-0.007069926708936691
a,hubieseis,0.07919055968523026
a,hubiesen,0.010287314653396606
a,hubieses,0.019589439034461975
a,hubimos,0.07846707105636597
a,hubiste,0.11358847469091415
a,hubisteis,0.0808519795536995
a,hubiéramos,0.028532885015010834
a,hubiésemos,0.026543181389570236
a,hubo,-0.03736481815576553
a,la,0.536989688873291
a,las,0.12487757205963135
a,le,0.33018064498901367
a,les,0.21499565243721008
a,lo,0.3194754719734192
a,los,0.16655445098876953
a,me,0.32386314868927
a,mi,0.47884082794189453
a,mis,0.1263875961303711
a,mucho,0.10513430088758469
a,muchos,0.09239204227924347
a,muy,0.07851279526948929
a,más,0.07815034687519073
a,mí,0.4412229061126709
a,mía,0.052746355533599854
a,mías,0.03875162824988365
a,mío,0.011655107140541077
a,míos,0.08519835770130157
a,nada,0.07929577678442001
a,ni,0.3421882688999176
a,no,0.2616080045700073
a,nos,0.14674018323421478
a,nosotras,0.06849340349435806
a,nosotros,0.10599192976951599
a,nuestra,0.1640612781047821
a,nuestras,0.0966358557343483
a,nuestro,0.12972812354564667
a,nuestros,0.18242576718330383
a,o,0.36620110273361206
a,os,0.28334760665893555
a,otra,0.07310301810503006
a,otras,-0.0004592016339302063
